Specify Item No,Specify Name of Goods,Specify Detailed Technical Specification and Standards required,Specify Inspection and/or tests required and test place
3,Training Management,3.18 Training Participant Management ,"BDBL, Head Office"
4,Transfer/Posting/Promotion Management,"4.1 Transfer order date, Release date, reporting date, cost center/ profit center, Transfer Type: Orientation, Permanent, Temporary Emergency (System will ignore while calculating length of service in Temporary Transfer), Kept in postpone state, Time Extension, Temporary Order, Transfer Basis:  General, On Request (requested by employee, transfer allowance is not applicable). Automated Transfer & Posting Order (a draft mode to be allowed) to be finalized/ issued on authorization and circulated thru email.","BDBL, Head Office"
4,Transfer/Posting/Promotion Management,4.2 Hand Over & Take Over: Hand Over & Take Over Maintain through system as per entitlement with scope to apply and manage by designated authorized officer. ,"BDBL, Head Office"
4,Transfer/Posting/Promotion Management,4.3 Release Letter:Release letter to be generated and circulated through email to designated person. Options for upload of scanned documents.,"BDBL, Head Office"
4,Transfer/Posting/Promotion Management,4.4 Joining Letter: Transfer and joining at new location/work station to be circulated through email to designated person. Options for upload of scanned documents.,"BDBL, Head Office"
4,Transfer/Posting/Promotion Management,4.5 Resource Requisition : Option  for Employee requisition from different Office,"BDBL, Head Office"
4,Transfer/Posting/Promotion Management,4.6 Joining Documents:,"BDBL, Head Office"
4,Transfer/Posting/Promotion Management,4.6.1 Police Verification Recording with document Upload,"BDBL, Head Office"
4,Transfer/Posting/Promotion Management,4.6.2 Medical Check Up Recording with document Upload,"BDBL, Head Office"
4,Transfer/Posting/Promotion Management,4.6.3 Forwarded information from recruitment into HR payroll system (so data does not need to be re-entered),"BDBL, Head Office"
4,Transfer/Posting/Promotion Management,4.6.4 Joining Letter (Auto),"BDBL, Head Office"
4,Transfer/Posting/Promotion Management,4.7 Employee Orientation Management : Employee Orientation Management (Maintaining Orientation Schedule etc.),"BDBL, Head Office"
5,Attendance & Leave Management,5.1 Attendance:,"BDBL, Head Office"
5,Attendance & Leave Management,5.1.1 Integration with  attendance devices (Biometric integration)of different locations across the country,"BDBL, Head Office"
5,Attendance & Leave Management,5.1.2 Manual Attendance Entry,"BDBL, Head Office"
5,Attendance & Leave Management,5.1.3 Attendance File Upload,"BDBL, Head Office"
5,Attendance & Leave Management,"5.1.4 Office Time Table :Time Table Master (time management for AD Branch employee duty allocation, Evening Banking employee duty allocation, Shifting Operation duty Allocation, Special Event Duty Allocation - Cattle Market, Election etc.), integrated with attendance system","BDBL, Head Office"
5,Attendance & Leave Management,5.2 Leave Management,"BDBL, Head Office"
5,Attendance & Leave Management,"5.2.1 Online & paperless application and approval of Leave (Employee information and leave application need to be hosted online), Email notification for approval","BDBL, Head Office"
5,Attendance & Leave Management,"5.2.2 Configure/Creation of Leave Balance (Casual, Sick, Earned, Maternity Leave, Special Leave Without Pay, Unauthorized Absent etc.) based on date of joining and paid days and leave policy","BDBL, Head Office"
5,Attendance & Leave Management,5.2.3 Submission of Yearly Recreation Leave Plan and approval,"BDBL, Head Office"
5,Attendance & Leave Management,5.2.4 Leave Apply (Inbound or abroad),"BDBL, Head Office"
5,Attendance & Leave Management,5.2.5 Leave Application Form,"BDBL, Head Office"
5,Attendance & Leave Management,5.2.6 Leave Report,"BDBL, Head Office"
5,Attendance & Leave Management,5.2.7 Configure Holiday Calendar,"BDBL, Head Office"
5,Attendance & Leave Management,5.2.8 Leave Calendar,"BDBL, Head Office"
5,Attendance & Leave Management,5.2.9 Leave Approval Letter,"BDBL, Head Office"
5,Attendance & Leave Management,5.2.10 Leave Process and Approval,"BDBL, Head Office"
5,Attendance & Leave Management,5.2.11 Leave Forward and Encashment through cash voucher or cash card and auto accounting entry in GL.,"BDBL, Head Office"
5,Attendance & Leave Management,"5.2.12 Leave Editing, Date Change","BDBL, Head Office"
5,Attendance & Leave Management,5.2.13 Leave Apply List,"BDBL, Head Office"
5,Attendance & Leave Management,5.2.14 Manual Leave Register (options to enter data who have not any access of computer),"BDBL, Head Office"
5,Attendance & Leave Management,5.2.15 Employee wise leave summary,"BDBL, Head Office"
5,Attendance & Leave Management,"5.2.16 Issuance of Letter for Unauthorized Absence: As per prescribed format with reference Number. The module will have option for apply, recommendation, approval and certificate issuance (Auto) in various predefined format.","BDBL, Head Office"
6,Payroll Management ,6.1 Integration between benefits and payroll as per BDBL Payroll system,"BDBL, Head Office"
6,Payroll Management ,"6.2 The payroll has to be processed before the pay date (For pre audit). After Audit authorization the process will be executed. Our payroll cycle is based on the calendar days in a month and the salary payment date is the prior day of the last working day of the same month. In case of a holiday/weekend, the pay date will be proponed to the prior working day.","BDBL, Head Office"
6,Payroll Management ,"6.3 Payroll Process/Create of Monthly Payroll/Automated Salary Calculation ,  Employees under suspension, Leave without pay (as per policy of BDBL) and integrated with accounts and retain salary history.","BDBL, Head Office"
6,Payroll Management ,6.4 Processing of Arrear Salary,"BDBL, Head Office"
6,Payroll Management ,6.5 Salary for suspended Employees,"BDBL, Head Office"
6,Payroll Management ,6.6 Salary for deputed Employees,"BDBL, Head Office"
6,Payroll Management ,6.7 Salary Adjustment,"BDBL, Head Office"
6,Payroll Management ,6.8 Salary Increment : Maintained in System according to pay scale and option to upload Excel Sheet.,"BDBL, Head Office"
6,Payroll Management ,6.9 Salary Update :Maintained in System and Upload for all component (Excel Sheet),"BDBL, Head Office"
6,Payroll Management ,"6.1 Different type of deduction (Salary and Allowances, PF, AIT calculation & Deduction, Benevolent Fund, P.F Loan etc.) as per deduction policy ","BDBL, Head Office"
6,Payroll Management ,"6.11 Different types of reports (Designation, Branch, Division, Cost Center / Profit Center, Work Station etc.)","BDBL, Head Office"
6,Payroll Management ,"6.12 Generating department-wise, level-wise, location-wise, designation-wise salary reports for a specific period","BDBL, Head Office"
6,Payroll Management ,6.13 Overtime Management and Payment against Overtime,"BDBL, Head Office"
6,Payroll Management ,6.14 Approval for Payroll (under maker & checker concept and as per payroll policy),"BDBL, Head Office"
6,Payroll Management ,6.15 Payroll Check Register or Audit Trail: Distribution of gross wages to general ledger accounts and sub accounts and provide an audit trail of these transactions,"BDBL, Head Office"
6,Payroll Management ,6.16 Payroll Distribution Report or Audit Trail: Distribution of gross wages to general ledger accounts and sub accounts and provide an audit trail of these transactions,"BDBL, Head Office"
6,Payroll Management ,"6.17 Unadjusted Deduction Register : List all special, standard, or calculated deductions, which were scheduled but not taken","BDBL, Head Office"
6,Payroll Management ,6.18Payment Module for Central Accounts  Department(CAD),"BDBL, Head Office"
6,Payroll Management ,"6.19 Different types of options as required by CAD for accounting of Salary, Allowances, Benefits, Conveyance, Loans etc.","BDBL, Head Office"
6,Payroll Management ,"6.20 Recruitment, Medical Facilities/Medical Check-up, Insurance (Integrated with Procurement Management), Corporate Discount etc.","BDBL, Head Office"
6,Payroll Management ,6.21Group Insurance Management,"BDBL, Head Office"
6,Payroll Management ,"6.22Doctor, Treatment Facility, First Aid, Employee Accident Reporting Option","BDBL, Head Office"
6,Payroll Management ,6.23Report for Group Insurance,"BDBL, Head Office"
6,Payroll Management ,6.24 Salary Adjustment Facilities with other banks.,"BDBL, Head Office"
6,Payroll Management ,6.25  Fixation,"BDBL, Head Office"
6,Payroll Management ,"6.25.1 Auto fixation as per national pay scale and BDBL policy after promotion, demotion etc","BDBL, Head Office"
6,Payroll Management ,6.26 Demotion Management,"BDBL, Head Office"
6,Payroll Management ,6.26.1 Manual Demotion management : Cause/Reason of demotion &  period of demotion,"BDBL, Head Office"
6,Payroll Management ,6.26.2 Demotion Order,"BDBL, Head Office"
6,Payroll Management ,6.26.3 New scale & designation due to Demotion,"BDBL, Head Office"
7,Staff Advance:,7.1 Link with CBS (Core Banking Solutions) with web service (API) to update CBS Ladger Balance. ,"BDBL, Head Office"
7,Staff Advance:,"7.2 HR Payroll system will maintain Staff Loan Module, after approval of Loan Authorize Officer (CAD)  will initiate disbursement and system will create a loan account and disburse loan to staff salary account in CBS through web service. In every month during salary disbursement, instalment(predefined  i.e House rent allowance or 400 for 1 lac each) will be deducted and rest amount will be credited to salary account. HR Payroll system will debit / credit respective GL in CBS for each transaction through web service.  Staff Loan Module of HR Payroll system will calculate interest in the system (monthly basis). Staff will get loan statement from HR Payroll system.  ","BDBL, Head Office"
7,Staff Advance:,7.3 Staff Loan module have to maintain loan accounting. ,"BDBL, Head Office"
7,Staff Advance:,7.4 P. F. Loan,"BDBL, Head Office"
7,Staff Advance:,7.4.1 Module as per policy (Manage individual. Options to adjust manually/automatically. Maintain voluntary early adjustment towards advance/loan taken) All 3 options mentioned above shall be applicable including final settlement and This PF Loan module will be integrated with PF Management Module of HR Payroll system. There should be provision of non-refundable pf loan management.,"BDBL, Head Office"
7,Staff Advance:,7.5 Example Loan Type:,"BDBL, Head Office"
7,Staff Advance:, (Multiple data will be upload),"BDBL, Head Office"
7,Staff Advance:,7.5.1 Loan Type (House Building),"BDBL, Head Office"
7,Staff Advance:,7.5.1.1 Loan Number:,"BDBL, Head Office"
7,Staff Advance:,7.5.1.2 Amount of  Loan (Tk) :,"BDBL, Head Office"
7,Staff Advance:,7.5.1.3 Disbursement Date/ Amount: ( Multiple),"BDBL, Head Office"
7,Staff Advance:,7.5.1.4 Monthly Instalment Type(400/lac or House rent),"BDBL, Head Office"
7,Staff Advance:,7.5.1.5 First Instalment Date:,"BDBL, Head Office"
7,Staff Advance:,7.5.2 Motor Cycle Loan: ,"BDBL, Head Office"
7,Staff Advance:,7.5.2.1 Loan Number:,"BDBL, Head Office"
7,Staff Advance:,7.5.2.2 Amount of  Loan (Tk):,"BDBL, Head Office"
7,Staff Advance:,7.5.2.3 Disbursement Date:,"BDBL, Head Office"
7,Staff Advance:,7.5.2.4 Monthly Instalment Size (Tk.),"BDBL, Head Office"
7,Staff Advance:,7.5.2.5 First Instalment Date:,"BDBL, Head Office"
7,Staff Advance:,7.5.3 Computer Loan: ,"BDBL, Head Office"
7,Staff Advance:,7.5.3.1 Loan Number:,"BDBL, Head Office"
7,Staff Advance:,7.5.3.2 Amount of  Loan (Tk):,"BDBL, Head Office"
7,Staff Advance:,7.5.3.3 Disbursement Date:,"BDBL, Head Office"
7,Staff Advance:,7.5.3.4 Monthly Instalment Size (Tk.),"BDBL, Head Office"
7,Staff Advance:,7.5.3.5 First Instalment Date:,"BDBL, Head Office"
7,Staff Advance:,7.5.4 Car Loan:,"BDBL, Head Office"
7,Staff Advance:,7.5.4.1 Car Registration No.,"BDBL, Head Office"
7,Staff Advance:,7.5.4.2 Loan Number:,"BDBL, Head Office"
7,Staff Advance:,7.5.4.3 Documentation,"BDBL, Head Office"
7,Staff Advance:,7.5.4.4 Amount of Car Loan Tk.:,"BDBL, Head Office"
7,Staff Advance:,7.5.4.5 Disbursement Date:,"BDBL, Head Office"
7,Staff Advance:,7.5.4.6 Total Ceiling Tk.: (Note: Admin Level Maintenance),"BDBL, Head Office"
7,Staff Advance:,7.5.4.7 Monthly Maintenance Allowance Tk.: (Note: Admin Level Maintenance),"BDBL, Head Office"
7,Staff Advance:,7.5.4.8 Monthly instalment Size Tk. (Note: Admin Level Maintenance),"BDBL, Head Office"
8,Employee Benefits Management,"8.1 Provident Fund Management (Accounting, provisioning, investment etc.), PF deduction & contribution monthly statement with status report for particular report. (Note: Accounting to maintaining as per existing policy.) PF Loan management shall be integrated. In case of PF investment three types of investment procedure (FDR, Sanchaypatra, Bond) have to design.For provident fund income statement , Balance sheet have to provide","BDBL, Head Office"
8,Employee Benefits Management,"8.2 Gratuity Fund Management (Accounting, provisioning, Investment etc.), Gratuity settlement and data for annual valuation with status report for particular period. (Note: Accounting to maintaining as per existing policy of BDBL)","BDBL, Head Office"
8,Employee Benefits Management,"8.3 Benevolent Fund (Accounting, Apply and disbursement) Apply through system as per entitlement with scope to apply and manage by designated authorized officer","BDBL, Head Office"
8,Employee Benefits Management,"8.4 Superannuation Fund Management (Accounting, Provisioning, Investment as per policy etc.) For Superannuation Fund, income statement, Balance sheet have to provide","BDBL, Head Office"
8,Employee Benefits Management,"8.5 Festival Bonus (Accounting, Provisioning and Disbursement as per policy for eligibility to be maintained by ADMIN)","BDBL, Head Office"
8,Employee Benefits Management,8.6 Incentive Bonus (Accounting and Disbursement as per policy to be maintained by admin) define infinite number based on user defined formula. There shall be a scope to make estimate by changing various criteria for budget purpose for management decision.,"BDBL, Head Office"
8,Employee Benefits Management,8.7 Earn Leave Encashment (Accounting and disbursement as per policy ),"BDBL, Head Office"
8,Employee Benefits Management,8.8 Lunch Subsidy Management,"BDBL, Head Office"
8,Employee Benefits Management,8.9 Employee Child Scholarship Management as per BDBL policy. There should be an option to check eligible candidate for scholarship.,"BDBL, Head Office"
8,Employee Benefits Management,"8.10 Compensation Management : (Accidental Death, Professional Diseases, Death during working hour etc.) Benefit as per Bank's Policy and Law Integrated with Payroll and HR Payroll system","BDBL, Head Office"
8,Employee Benefits Management,8.11 Confirmation,"BDBL, Head Office"
8,Employee Benefits Management,"8.11.1 List of eligible candidates, Due date of Confirmation","BDBL, Head Office"
8,Employee Benefits Management,8.11.2 Office Note of Confirmation (Auto),"BDBL, Head Office"
8,Employee Benefits Management,8.11.3 Office Order of Confirmation (Auto),"BDBL, Head Office"
8,Employee Benefits Management,8.11.4 Confirmation Letter (Auto),"BDBL, Head Office"
8,Employee Benefits Management,8.11.5 Extend Probation Period with Letter (Auto),"BDBL, Head Office"
8,Employee Benefits Management,8.12 Promotion,"BDBL, Head Office"
8,Employee Benefits Management,8.12.1 Promotion Configutation  Based on promotion Criteria,"BDBL, Head Office"
8,Employee Benefits Management,8.12.2 Option for Auto Promotion Based on criteria,"BDBL, Head Office"
8,Employee Benefits Management,8.12.3 For Manual Promotion there should be different types of report for Officer and Staff,"BDBL, Head Office"
8,Employee Benefits Management,8.12.4 Reports for Selection Committee,"BDBL, Head Office"
8,Employee Benefits Management,8.12.5 Report for Promotion Committee,"BDBL, Head Office"
9,Final Settlement Process/ Separation Management,"9.1 Automated (System will collect information from Payroll,House Building Advance, Car Loan, Computer Loan, Motorcycle Loan, Personal Loan/CCS Loan, PF Loan, PF, Gratuity, Superannuation, Furniture-Fixture Allowance, Credit Card, Cash Card, Fixed Asset etc. and prepare a final settlement statement)","BDBL, Head Office"
9,Final Settlement Process/ Separation Management,"9.2 Reason of Separation/Type of Separation (i.e. Resignation, Termination, Discharge, Dismissed, Removal/Withdrawal, Death, Treatment for Resignation& Retirement)","BDBL, Head Office"
9,Final Settlement Process/ Separation Management,9.3 Determination of Bank's Assets (Add and Drop options),"BDBL, Head Office"
9,Final Settlement Process/ Separation Management,9.4 Determination of Outstanding Loans (Add and Drop options),"BDBL, Head Office"
9,Final Settlement Process/ Separation Management,9.5 Determination of Benefits dues (Add and Drop options),"BDBL, Head Office"
9,Final Settlement Process/ Separation Management,"9.6 Notice Pay Payable (Paid by Employee, Waived by Bank, Paid by Bank)","BDBL, Head Office"
9,Final Settlement Process/ Separation Management,9.7 Payable by the Bank (Add and Drop options),"BDBL, Head Office"
9,Final Settlement Process/ Separation Management,9.8 Payable by the Incumbent (Recoverable from the employee),"BDBL, Head Office"
9,Final Settlement Process/ Separation Management,9.9 Tax against full and final settlement,"BDBL, Head Office"
9,Final Settlement Process/ Separation Management,9.1 Net Amount Payable by the Bank,"BDBL, Head Office"
9,Final Settlement Process/ Separation Management,9.11 Full and Final Settlement receipt.,"BDBL, Head Office"
10,Employee Performance Management(ACR),10.1 Setting Authorize person to Evaluate Employee. HR will setup which officer will evaluate whom. General rule can be set up for it. You can ask for  BDBL current Evaluation system.,"BDBL, Head Office"
10,Employee Performance Management(ACR),10.2 Set up different quantitative evaluation features of performance for different class/group of employees. Evaluation features may chage time to time. ,"BDBL, Head Office"
10,Employee Performance Management(ACR),10.3 Set up numerical values for each feature. ,"BDBL, Head Office"
10,Employee Performance Management(ACR),10.4 All qualitative features of performance should be multilangual (Bangla and English),"BDBL, Head Office"
10,Employee Performance Management(ACR),10.5 Records supervisors' comments/Number on different qualitative evaluation into numerical figures based on hierarchy of evaluation. This value should be store in encrypted format.,"BDBL, Head Office"
10,Employee Performance Management(ACR),10.6 Set up calculation of total performance of employees by adding the evaluated numerical figures,"BDBL, Head Office"
10,Employee Performance Management(ACR),10.7 Authorize person can upgrade/degrade the evaluation number ( Changes should be kept for record keeping),"BDBL, Head Office"
10,Employee Performance Management(ACR),10.8 Reward & Punishment Record ,"BDBL, Head Office"
10,Employee Performance Management(ACR),10.9 Training Need Assessment & Training Records to be directly accessed from this module and direct link for comparing,"BDBL, Head Office"
10,Employee Performance Management(ACR),"10.1 This Annual Confidential   Report (ACR) should be automated. Authorize Employee will get a list of ACR to give his feedback with deadline alert. It should be submitted to the system  before deadline. If any employee miss deadline , authorize person can extend the deadline.","BDBL, Head Office"
10,Employee Performance Management(ACR),"10.11 Each individual employee profile can be listed within specific user groups. Here, their profile  will be listed  using  points based on BDBL's promotion criteria(i.e. Points based on length of service, Education, Branch Experience, Reword etc.).","BDBL, Head Office"
11,"System Administration(User administration, Data backup/Restore etc.)",11.1 User management : There should be ACL(Access Control Level) for Application User.,"BDBL, Head Office"
11,"System Administration(User administration, Data backup/Restore etc.)",11.2 System Log Management : All type of Change/ Access Log should be maintain.,"BDBL, Head Office"
11,"System Administration(User administration, Data backup/Restore etc.)","11.3 Portal for Employee: Portal for employees to access information on employee policies, time records, pay records, personal data, current events, different forms etc.","BDBL, Head Office"
11,"System Administration(User administration, Data backup/Restore etc.)","11.4 System Uptime : System must be operable 24 hours a day, 7 days a week, and 365 days a year. System must provide for data integrity in the event of power outages or damage to all or part of the database platform","BDBL, Head Office"
11,"System Administration(User administration, Data backup/Restore etc.)",11.5 System Localization :  System should have an option for localization. Most of the HR report and form should be in Bangla and English.( Currently Most of the HR reports and forms are in Bangla ),"BDBL, Head Office"
11,"System Administration(User administration, Data backup/Restore etc.)",11.6 System Dash Board ,"BDBL, Head Office"
11,"System Administration(User administration, Data backup/Restore etc.)","11.6.1 System Dashboard for each user showing status  or alerts on each Status for each steps, to do list, Due list etc.","BDBL, Head Office"
11,"System Administration(User administration, Data backup/Restore etc.)",11.6.2 The software should be capable to support rules changes by admin.,"BDBL, Head Office"
11,"System Administration(User administration, Data backup/Restore etc.)",11.6.3 The software should provide error message upon validation of rules if there is any rule conflict. The software would also be capable of debugging the identified error.,"BDBL, Head Office"
11,"System Administration(User administration, Data backup/Restore etc.)",11.6.4 The software should be capable of supporting configuration updates so that   new regulatory requirements are met.,"BDBL, Head Office"
11,"System Administration(User administration, Data backup/Restore etc.)",11.6.5 The software should be capable to allow change of work flows under different instances.,"BDBL, Head Office"
11,"System Administration(User administration, Data backup/Restore etc.)",11.6.6 The software should be capable to provide required reporting and the software should be provided with data dictionary for generating reports using third party tools.,"BDBL, Head Office"
11,"System Administration(User administration, Data backup/Restore etc.)",11.6.7 The software should be capable to provide Compliance and Management Reporting and the built-in reporting tool of the system should be capable to provide dynamic reports with option to select attributes from list of parameters.   ,"BDBL, Head Office"
11,"System Administration(User administration, Data backup/Restore etc.)",11.6.8 The software should have functionality which could indicate the processing status. This functionality should be used for workflow status management and configurable from Admin end.,"BDBL, Head Office"
11,"System Administration(User administration, Data backup/Restore etc.)","11.6.9 The system must maintain an audit trail that tracks data changed, hold original data and user name of the person modifying or viewing an item with time stamp.","BDBL, Head Office"
11,"System Administration(User administration, Data backup/Restore etc.)",11.6.10 The system must have Maker and Checker for each and every module (even for admin module) and for each and every input as per regulatory requirement.,"BDBL, Head Office"
11,"System Administration(User administration, Data backup/Restore etc.)","11.6.11 The system must have option for API integration with other systems like Core Banking System, Mobile Banking System, Card Management System, BEFTN, RTGS etc. The System should have API and option to use third party API for integration with other systems.","BDBL, Head Office"
11,"System Administration(User administration, Data backup/Restore etc.)","11.6.12 The system should have the ability to show a full audit trail of changes through time, including the user (IP Address, MAC Address) who made the change, the date and time modified, the fields modified and the old and new values.","BDBL, Head Office"
11,"System Administration(User administration, Data backup/Restore etc.)",11.6.13 The system should support various levels of audit logging with time stamp and user information.,"BDBL, Head Office"
11,"System Administration(User administration, Data backup/Restore etc.)",11.6.14 The system should have capability to preserve the integrity of audit trails and names of the deleted / blocked / disabled user accounts.,"BDBL, Head Office"
11,"System Administration(User administration, Data backup/Restore etc.)","11.7 Head Office Division Branch, Sub-Branch, Booth & ATM Related Info","BDBL, Head Office"
11,"System Administration(User administration, Data backup/Restore etc.)",11.7.1 Division/ department / Branch Address Info,"BDBL, Head Office"
11,"System Administration(User administration, Data backup/Restore etc.)",11.7.2 District wise counting,"BDBL, Head Office"
11,"System Administration(User administration, Data backup/Restore etc.)",11.7.3 Opening year wise info,"BDBL, Head Office"
11,"System Administration(User administration, Data backup/Restore etc.)",11.7.4 Branch code wise info,"BDBL, Head Office"
11,"System Administration(User administration, Data backup/Restore etc.)",11.7.5 AD Branch wise info,"BDBL, Head Office"
11,"System Administration(User administration, Data backup/Restore etc.)",11.7.6 Rural & Urban Branch wise info,"BDBL, Head Office"
11,"System Administration(User administration, Data backup/Restore etc.)",11.7.7 Corporate Focused (to be maintained in dropdown),"BDBL, Head Office"
11,"System Administration(User administration, Data backup/Restore etc.)",11.7.8 Retail Focused (to be maintained in dropdown),"BDBL, Head Office"
11,"System Administration(User administration, Data backup/Restore etc.)",11.7.9 SME Focused (to be maintained in dropdown),"BDBL, Head Office"
11,"System Administration(User administration, Data backup/Restore etc.)",11.8 Sub-Branch /Booth,"BDBL, Head Office"
11,"System Administration(User administration, Data backup/Restore etc.)",11.8.1 Booth Details/ Sub Branch Details,"BDBL, Head Office"
11,"System Administration(User administration, Data backup/Restore etc.)",11.8.2 Under the Branch,"BDBL, Head Office"
11,"System Administration(User administration, Data backup/Restore etc.)",11.8.3 Assigning as Cost Center or Profit Center  (unique ref ) to facilitate optimal resource allocation and profitability,"BDBL, Head Office"
11,"System Administration(User administration, Data backup/Restore etc.)","11.9 Different Reminder Options : System Admin, HR Admin, HR Supervisor, HR Officer, Standard etc. for various user type","BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.1 Expected all Reports based on data available in the System as per BDBL Policy. BDBL will provide sample for existing reports. All reports must be configurable. Based on selected criteria report will be generated.,"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.2 Employee Seniority list (Based on selected field).,"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)","12.3 Employee Reports (Based on Designation, Division, Office , Department, Branch, Branch Manger, Temporary In charge, Additional Charge ,Cashier,District, City corporation, Zone etc.)","BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.4 List of Employee based on Joining wise and Designation wise,"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)","12.5 Employee Confirmation List (with Date, Month and Year)","BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.6 List of Employee with Extension of Confirmation period for with duration,"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)","12.7 Transfer report (work station, Temporary with effective date from and date to, Permanent with effective date from to date to, Not transferred within 3 years and above) within a period","BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.8 Report on Transfer Allowances,"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)","12.9 Report on Promotion (year/specific period wise and individual employee wise, Designation wise)","BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)","12.1 PRL list( Based on Date, Designation, Gender, Voluntarily)","BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)","12.11 Promotion Entitle List based on cutoff date, Individual date","BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.12 List of Employees Rewarded including type of reward,"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.13 Report on Demotion,"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.14 Report on Stoppage of Promotion (For the period),"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.15 Report on Stoppage of Increment (For the period),"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.16 Report on Warning Letter Issued to Employees,"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.17 Report on Termination,"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)","12.18 Report on Death (Reason Normal, Accidental etc.)","BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.19 Report on Resigned,"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.2 Report on Retirement,"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.21 Report on Discharge,"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.22 Report on Dismissed,"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.23 Report on Withdrawal/Removal,"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.24 Report on Separation Treated as Resigned (Unauthorized Absent),"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.25 Report on Released and Separation (with effective date),"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.26 Report on Due date of Renewal of Contract,"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.27 Report on Due date of Confirmation,"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)","12.28 Report on Number of Employees (Designation wise): Recruited, Promoted, Retired and Resigned during the year (Date from Date to)","BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.29 Report on General Manager and Above Left the Bank,"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.3 Report on Employee Age Group:,"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.31 - Up to 30 years,"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.32 - Above 30 years to up to 40 years,"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.33 -Above 40 years to 50 years,"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.34 - Above 50 years to up to 60 years,"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.35 - Above 60 years,"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.36 Attendance Reports,"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)","12.37 Blood Group Reports (blood group wise email group to email during need of blood), list available for all employees.","BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.38 Personal Records Reports,"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.39 Recruitment Related Reports,"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)","12.4 Leave Related Reports (Employees Availed Maternity Leave, Special Leave Without Pay, Unauthorized Absent, Mandatory Leave (15 days leave at a stretch)","BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.41 Report on Managers on Leave (date from date to),"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.42 Report on Cash Officer on Leave (date from date to),"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.43 Report on Divisional Heads on Leave(date from date to),"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)",12.44 Report on Departmental Heads on Leave (date from date to),"BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)","12.45 Report on Loans of Executives (Staff House Building Loan, PF Loan, Staff Motor Cycle Loan, Car Loan, Computer Loan etc.)","BDBL, Head Office"
12," Reports Based on above (MS Word, MS Excel, PDF)","12.46 Report on Loans' outstanding of  Executives' (Staff House Building Loan, PF Loan, Staff Motor Cycle Loan, Car Loan, Computer Loan etc.)","BDBL, Head Office"
